source,link,date,grade,scoreType,text
Dexerto,https://www.dexerto.com/gaming/fire-emblem-engage-review-2033733/,"Jan 17, 2023",100,Positive,"
                                Fire Emblem Engage feels like a step backward in ways that this writer appreciates. Gone are the lessons, and in their place is a genuinely affecting story with plenty of whimsy and epic tactical conquests. It's a great way to kick off the year for the Switch, and also happens to be one of the best-looking games on the platform, too.
                            "
Digitally Downloaded,https://www.digitallydownloaded.net/2023/01/review-fire-emblem-engage-nintendo-switch.html,"Jan 17, 2023",100,Positive,"
                                The only thing that I would change in Fire Emblem engage is the design of the protagonist. Her combination of red and blue does come across as excessively garish to me, even within the context of a very bright and colourful game. I’d keep her character, which is great, but just give her green twintailed hair or something. That’s it, though. That’s the only change I’d make. In every other way, Fire Emblem Engage is everything I love about Fire Emblem, bundled up in a way that does justice to both the classics that got me into the series, and the production values of modern gaming. Brilliant.
                            "
Siliconera,https://www.siliconera.com/review-fire-emblem-engage-offers-fresh-challenges/,"Jan 17, 2023",100,Positive,"
                                Fire Emblem Engage is amazing and a wonderful way for Nintendo to kick off 2023.
                            "
Pure Nintendo,https://purenintendo.com/review-fire-emblem-engage-nintendo-switch/,"Feb 14, 2023",95,Positive,"
                                Fire Emblem: Engage will be welcomed by longtime fans who’ve felt disenfranchised by the direction of recent Fire Emblem games. The battlefields are clever and challenging, the visuals are outstanding, and the social stuff—although mostly unnecessary—isn’t so invasive as to bog down gameplay. The story may be perfunctory, but it’s hard to care when you’re having so much fun unleashing Twin Strike on your enemies.
                            "
The Mako Reactor,https://themakoreactor.com/reviews/fire-emblem-engage-review-dlc-amiibo-nintendo-switch/46018/,"Feb  8, 2023",95,Positive,"
                                Fire Emblem Engage is one of Nintendo's best games in years, and a much more polished release than Fire Emblem: Three Houses which I loved. While it suffers in its story compared to recent releases, it is still an essential for tactical RPG fans. It also happens to be a gorgeous game that shines on the OLED Switch display.
                            "
GamingTrend,https://gamingtrend.com/feature/reviews/fire-emblem-engage-review-cute-idiots-out-saving-the-world/,"Jan 31, 2023",95,Positive,"
                                Fire Emblem: Engage is a return to the more linear Fire Emblem style of storytelling while continuing the path that Fire Emblem: Three Houses began with the graphics and combat upgrades. The game feels fresh and new while also paying homage to Fire Emblem’s storied past with the inclusion of iconic characters in the Emblem Rings such as Marth, Roy, Lyn, and more. With a collection of adorable characters you’re sure to cry when you lose them and a story that has its fair share of twists and turns; new and old Fire Emblem fans can find something to enjoy about this game. It’s a story of friendship, family, and doing whatever you can to save the ones you love; Fire Emblem.
                            "
Atomix,https://atomix.vg/review-fire-emblem-engage/,"Jan 17, 2023",95,Positive,"
                                At least in my case, I can already tell you that the first candidate for Game of the Year has arrived, and boy did it arrive early. How much does 2023 hold for us if we are having such a special start?
                            "
God is a Geek,https://www.godisageek.com/reviews/fire-emblem-engage-review/,"Jan 17, 2023",95,Positive,"
                                Fire Emblem Engage is a masterpiece of tactical gameplay design, with a gorgeous look, and depth most games can only dream of.
                            "
KeenGamer,https://www.keengamer.com/articles/reviews/switch-reviews/fire-emblem-engage-review-divine-gameplay-mixed-with-an-anime-plotline-switch/,"Mar 10, 2023",93,Positive,"
                                Fire Emblem Engage is a entertaining fun entry in the long running FE series. It will keep you hooked with its silly atmosphere and addicting gameplay. If you have ever wanted to play the video game version of an Saturday morning anime cartoon then pick it up right away! It is one of the most ""Engaging"" Strategy RPGs out there with a beautiful style. A great celebration of the series and a love letter to fans of any FE era.
                            "
TierraGamer,https://tierragamer.com/resenas/videojuegos/resena-fire-emblem-engage-un-rpg-con-el-corazon-fiel-a-la-saga-pero-con-un-aire-refrescante/,"Feb 21, 2023",91,Positive,"
                                Fire Emblem Engage is a video game that maintains the series' classic elements while managing to venture to build new characteristics on its own, which could bequeath better conditions for the future of its franchise. The mechanics shine, and the improvements in the visual and sound sections are precious.
                            "
Player 2,https://www.player2.net.au/2023/01/fire-emblem-engage-review-awakening-2-0/,"Jan 17, 2023",91,Positive,"
                                One or two unnecessary chapters and some half-hearted multiplayer can’t get in the way of what is a sensational Fire Emblem experience.
                            "
PLAY! Zine,https://play.co.rs/2023/02/06/plamen-gori-jace-nego-ikad-fire-emblem-engage-recenzija/,"Feb 14, 2023",90,Positive,"
                                Fire Emblem Engage combines some of the renowned elements of older titles and pushes them through a more modern presentation. It looks great, plays even better, and a few additional modes are a nice bonus. While the essence of the series remains to be improved in the future, especially when it comes to a fair way to level up characters or navigate through somewhat clunky menus, Fire Emblem Engage has to be one of the best instalments the series has to offer.
                            "
Noisy Pixel,https://noisypixel.net/fire-emblem-engage-review/,"Feb  6, 2023",90,Positive,"
                                Fire Emblem Engage is a solid entry in the franchise. It’s easily the best Fire Emblem game from the modern generation (awakening onwards). I enjoyed my time so much that I’m already returning for my second, more relaxed playthrough on maddening. It’ll take a while.
                            "
RPG Fan,https://www.rpgfan.com/review/fire-emblem-engage/,"Feb  1, 2023",90,Positive,"
                                Despite weaker writing than I’ve come to expect from the series, Fire Emblem Engage’s gameplay is so good that the game is a blast from start to finish, and I’m already thinking of ideas for my third playthrough. If you like Fire Emblem’s gameplay at all, Fire Emblem Engage is a can’t-miss game.
                            "
Gamereactor Sweden,https://www.gamereactor.se/fire-emblem-engage-1130823/,"Jan 30, 2023",90,Positive,"
                                Whether you've been playing Fire Emblem since the beginning or are mostly curious about where the blue-haired sword goblins in Super Smash Bros. come from, I think you should give Fire Emblem Engage a proper try. You will not regret it.
                            "
Gamepressure,https://www.gamepressure.com/editorials/reviews/fire-emblem-engage-review-winning-bonds/zc606,"Jan 25, 2023",90,Positive,"
                                Focusing more on its traditional combat experience, Fire Emblem Engage is an impressive game that tries to give you a lot to play with and succeeds in feeling refreshing yet on brand. Its Emblem mechanic brings nostalgic elements to battle while introducing better ways to modify and customize your party, though its social aspects are more toned down than in previous installments.
                            "
IGN Adria,https://adria.ign.com/fire-emblem-engage/38871/review/fire-emblem-engage-recenzija,"Jan 20, 2023",90,Positive,"
                                Fire Emblem Engage is a significant improvement over the previous mainline sequel, with a greater focus on the story, better performance and design, it brings everything that should please old and new fans of the long-running series.
                            "
Merlin'in Kazanı (Turkey),http://www.merlininkazani.com/Fire_Emblem_Engage-oyun_inceleme-123592p1.html,"Jan 18, 2023",90,Positive,"
                                Fire Emblem Engage is one of the early surprises of 2023. Nintendo has managed to make fans of the genre happy with a great JRPG game.
                            "
Vandal,https://vandal.elespanol.com/analisis/switch/fire-emblem-engage/126268#p-83,"Jan 17, 2023",90,Positive,"
                                Engage is a fantastic tactic RPG with an excellent gameplay, exquisite level design and interesting new additions to celebrate more than three decades of Fire Emblem.
                            "
The Games Machine,https://www.thegamesmachine.it/fire-emblem-engage-nintendo-switch/fire-emblem-engage-recensione/,"Jan 17, 2023",90,Positive,"
                                Between various novelties and improvements, the combat system of Fire Emblem Engage is perfectly smooth and exciting. Not all the campaign is full of twists and the shadow of socialization at all costs could make the most surly digital generals nervous, but overall Fire Emblem Engage is a recommended chapter.
                            "
Stevivor,https://stevivor.com/reviews/fire-emblem-engage-review-more-than-just-a-kawaii-face/,"Jan 17, 2023",90,Positive,"
                                After dozens of hours traipsing around the world map of Elyos, I’ve found myself pleasantly surprised with what I’ve found. The shift in tone and style helps set the game apart from what came before, and the new mechanics bring a breath of fresh air to combat while paying tribute to all the games that came before. I was surprised to find a level of difficulty that Three Houses had, for the most part, not showcased – paired with a story with enough twists and turns to keep me interested. While players may be tempted to judge Fire Emblem Engage on the art style alone, I strongly suggest giving it a try before casting judgement; you may just find that this is one of the best Fire Emblem games to date.
                            "
Everyeye.it,https://www.everyeye.it/articoli/recensione-fire-emblem-engage-passo-innovazione-nostalgia-60137.html,"Jan 17, 2023",90,Positive,"
                                Despite the initial misgivings, Fire Emblem Engage has proven to be a solid and articulated strategy, which mixes the fundamental characteristics of the saga with great attention to a rich slew of functional and inspired innovations. With the introduction of the Breach and the numerous mechanics related to synchronization, the guys from Intelligent Systems have indeed added new layers of depth to an already sublime strategic component and to the customization of the party, offering an always adequate and pressing level of difficulty . However, the proverbial - and somewhat unexpected - icing on the cake is represented by a visual system of great impact and more than satisfactory technical performances, which represent a surprising step forward compared to what was seen in Three Houses. Whether or not you know the various heroes recalled from the past, we suggest you make it your own and let yourself be enchanted by a brilliant and varied combat system.
                            "
NintendoWorldReport,https://www.nintendoworldreport.com/review/62622/fire-emblem-engage-switch-review,"Jan 17, 2023",90,Positive,"
                                Fire Emblem Engage may not be my dream game, but it is still a damn good Fire Emblem game. The worst parts of it are merely okay, and the best parts of it paint a bright picture for the future of the franchise. I have never played a game quite so ravenously, sinking over ninety hours into my first playthrough in just two weeks (though don’t get too intimidated by that number, it counts all of my resets from playing on Hard difficulty, and I also played all fifteen optional chapters). At the end of it all I didn’t feel exhausted or burnt out, but rather like I somehow wished that I could play for even longer. Fire Emblem Engage may not check every box that fans were hoping for, but it is easily the strongest showing for the series in the last decade.
                            "
IGN,https://www.ign.com/articles/fire-emblem-engage-review,"Jan 17, 2023",90,Positive,"
                                Fire Emblem Engage proves itself worthy enough to be counted alongside the legacy it honors so well.
                            "
Game Informer,https://www.gameinformer.com/review/fire-emblem-engage/propelling-to-the-future-using-the-past,"Jan 17, 2023",90,Positive,"
                                Engage’s characters and social systems never quite hit the high bar set by Three Houses, but it does surpass its predecessor in almost every other way. Players looking for deep customization, expertly crafted strategy RPG combat, and a heartfelt story with adoration for more than 30 years of Fire Emblem history will find that and more in Engage. It’s one of the most gripping games I’ve played on Switch and, ultimately, one I struggled to peel myself away from. If Three Houses was an experiment with where Fire Emblem’s social mechanics can go, then Engage is doing the same for the series’ evolving combat, and excelling just as much, too.
                            "
