source,link,date,grade,scoreType,text
Gaming Nexus,https://www.gamingnexus.com/Article/10766/Forspoken/,"Jan 23, 2023",95,Positive,"
                                Forspoken is absolutely fantastic. With all the spells you can unlock, the gear you can upgrade, the fights, the bosses, and a storyline that rivals the best video game stories, this isn't a return to form for SquareEnix, it's a testament that they still got it, and will have it for a very, very long time. 
                            "
GamingTrend,https://gamingtrend.com/feature/reviews/forspoken-review-find-your-fire/,"Jan 23, 2023",90,Positive,"
                                Forspoken is an incredible title. Although the story suffers from being a bit too generic, the gameplay is inventive, magical, and an absolute blast. This is a game I’ll come back to again and again just to move around and exist in the fascinating fantasy world. Forspoken is an exciting leap forward for action games, and I can’t get enough of it.
                            "
Movies Games and Tech,https://moviesgamesandtech.com/2023/03/08/forspoken-review/,"Mar  9, 2023",85,Positive,"
                                Forspoken is an urban-come-high-fantasy open-world, action-adventure game played in the third person. Combining magic and parkour, you take on the role of Frey as she learns to understand her new abilities in a strange world that needs saving from disaster.
                            "
The So Videogames Podcast,https://gamecritics.com/brad-gallaway/svg-review-forspoken/,"Feb 15, 2023",85,Positive,"
                                It’s always going to be on my desktop or my PlayStation, and I’m gonna keep going back to it every once in a while because it’s really relaxing to hold down the parkour button and go through this huge world to unlock stuff and find new quests. 
                            "
The Mako Reactor,https://themakoreactor.com/reviews/forspoken-ps5-review-tantalizing/46035/,"Feb  6, 2023",85,Positive,"
                                There's a lot to love about Forspoken despite its technical issues. It makes up for that with great traversal, a fantastic DualSense implementation, and solid storytelling. It might not be for everyone, but I enjoyed my time in Athia and will be checking out the story DLC when it launches in the future. 
                            "
CGMagazine,https://www.cgmagonline.com/review/game/forspoken-ps5-review/,"Jan 23, 2023",85,Positive,"
                                Forspoken feels like a breath of fresh air for open-world adventures with its stylish engine, but is held back by pacing and other foibles.
                            "
Atomix,https://atomix.vg/review-forspoken/,"Jan 23, 2023",85,Positive,"
                                Forspoken manages to stand out for its fantastic combat system and spectacular exploration in its open world. However, it clearly could have been better in other areas. 
                            "
GameSpew,https://www.gamespew.com/2023/02/forspoken-review/,"Feb  8, 2023",80,Positive,"
                                Early on, Forspoken‘s somewhat empty, barren world isn’t the most appealing. Stick with it, though, and you’ll be rewarded with more interesting landscapes, plenty of side content to sink your teeth into and a range of magical beasts itching for a fight. Frey makes a great protagonist, and we couldn’t help but be charmed by her punchy personality. But it’s her exhilarating parkour that really sets Forspoken apart. This open world adventure offers up the type of fun that’s hard to put down once you get started. We’re certainly keen to keep returning to Athia to mop up those remaining distractions.
                            "
GRYOnline.pl,https://www.gry-online.pl/S020.asp?ID=14704,"Feb  2, 2023",80,Positive,"
                                Forspoken isn't for everyone - and this is its strength. Games that spark controversy can be the most interesting. This seems a sign that the developers have successfully realized their vision. Such courage is commendable, especially in the era of clones.
                            "
GamesHub,https://www.gameshub.com/news/reviews/forspoken-review-ps5-39556/,"Jan 29, 2023",80,Positive,"
                                Rough and ready, just like Frey, Forspoken is a tale worth stomping through one high-stakes, magic-infused battle at a time.
                            "
Twinfinite,https://twinfinite.net/2023/01/forspoken-review-exceptional-gameplay-cuffed-to-a-rough-start/,"Jan 27, 2023",80,Positive,"
                                Even with its unfortunate first impression, I’d (heartily) recommend Forspoken. Its exceptional gameplay is more than enough to make it worth playing and is all the more noteworthy, given it’s a fresh new IP. If nothing else, it lays the groundwork for a new series that has plenty to build from and could go on to be remembered for far more than some rough dialogue.
                            "
IGN Japan,https://jp.ign.com/forspoken/65253/review/forspoken-rpg,"Jan 23, 2023",80,Positive,"
                                Forspoken is an ambitious title that builds both its fluid movement and its battle system around the concept of magic. From comfortable exploration to speedy combat, this unique open world action RPG has plenty of appeal, and its story that depicts the spiritual growth of its young New Yorker protagonist is immersive. That being said, the game does have issues, such as a lack of variety in side quests and a hub area that takes too much time to navigate through.
                            "
Jeuxvideo.com,https://www.jeuxvideo.com/test/1693028/forspoken-l-exclu-console-ps5-des-createurs-de-final-fantasy-xv-est-elle-une-vraie-experience-next-gen.htm,"Jan 23, 2023",80,Positive,"
                                Forspoken is therefore an experience that takes time to reveal its potential, but which, once the controls have been mastered, offers to discover a pleasant open world thanks to the magical powers of Frey.
                            "
RPG Fan,https://www.rpgfan.com/review/forspoken/,"Jan 23, 2023",80,Positive,"
                                Forspoken is a far better and more compelling game than I had feared, but it also doesn’t reach the heights I dreamt of. There is a lot of fun to be had exploring Athia and the main quest keeps things interesting even when you get bored with the open-world checklist. But at the same time I can’t help but be disappointed with how safe Forspoken plays the open world, and I am unlikely to go back to clear out all of those rote points of interest. And I also can’t deny there are some eyebrow-raising moments as to how the writers chose to portray a black woman like Frey, despite personally liking her quite a bit when viewed through the lens of having finished the game. There is a lot of diversity in the cast too, in a way we don’t usually get from big-budget RPGs. I am not sure how many steps forward versus how many steps back Forspoken takes, but there are steps taken forward. In the end, I recommend Forspoken to anyone who loves Final Fantasy XV or Ubisoft-style open worlds and especially anyone who has a thing for character mobility. Yet, the game has a certain charm that I believe makes it worth giving a try to anyone.
                            "
Hobby Consolas,https://www.hobbyconsolas.com/reviews/analisis-forspoken-ps5-pc-1188138,"Jan 23, 2023",80,Positive,"
                                Forspoken it's not the next gen game that we're waiting for, but it's not as bad as some found in the demo. It has its share of elements to improve, starting with the script, but it makes combat and traverse very fresh and enjoyable, in a world full of things to do, that invites to keep playing even after watching the ending credits.
                            "
PlayStation LifeStyle,https://www.playstationlifestyle.net/2023/01/23/forspoken-review-ps5-worth-playing/,"Jan 23, 2023",80,Positive,"
                                Forspoken represented a huge risk taken by newcomer Luminous Productions. While the story may feel a bit contrived at times, the Flow method of traversal and combat more than makes up for it. Frey may annoy some people as the protagonist, but stringing together a chain of magical commands within just a few seconds while deftly avoiding incoming fireballs is rewarding, and ultimately, I came away from Forspoken having enjoyed my time helping the people of Athia.
                            "
SpazioGames,https://www.spaziogames.it/forspoken-recensione/,"Jan 23, 2023",80,Positive,"
                                Forspoken is a game of ups and downs. The title is much more focused on the story than on the open world component and this is not a bad thing at all. The narrative is enjoyable, but not without flaws, while the open world is very classic in style without particular flashes of originality.
                            "
