source,link,date,grade,scoreType,text
Hey Poor Player,https://www.heypoorplayer.com/2023/02/06/hi-fi-rush-review-pc/,"Feb 10, 2023",100,Positive,"
                                Look, I can wax poetic about this absolute wonder all I want, but you’ve got to play it to really see how epic this game is. Not even the biggest nitpicker could find a thing to make better in this, because it just does such a damn good job of being exactly what it aims to be. Do you like music? Do you like action games with a bit of platforming? Do you like charm and atmosphere in your games? If you answered “yes” to any one of those three, go boot up your console or PC of choice and find this gem. You owe it to yourself.
                            "
Inverse,https://www.inverse.com/gaming/hi-fi-rush-review,"Feb  2, 2023",100,Positive,"
                                I simply can’t imagine not seeing Chai and 808 again, whether it’s in another game or some kind of animated spinoff. As triple-A gaming starts to feel more homogenized each year, Hi-Fi Rush is a stark reminder of how this industry was built on taking chances and experimenting. It’s a gutsy move from a developer known for only making “spooky” games, but it’s a gamble that’s clearly paid off.
                            "
Attack of the Fanboy,https://attackofthefanboy.com/reviews/hi-fi-rush-review/,"Jan 31, 2023",100,Positive,"
                                Hi-Fi Rush is a perfect bit-sized roller coaster, the kind you want to ride again and again. No game is perfect, but Hi-Fi Rush manages to pack in extremely successful and unique gameplay, highly detailed cutscenes and art style, and the comfort of a Saturday morning cartoon's plot, characters, and humor into one awesome adventure that nobody saw coming. Hi-Fi Rush is an absolutely fantastic game and you should go play it right now.
                            "
The Mako Reactor,https://themakoreactor.com/reviews/hi-fi-rush-pc-steam-deck-review-xbox-series-x/45787/,"Jan 31, 2023",100,Positive,"
                                Hi Fi Rush is a phenomenal experience from start to finish with fantastic characters, sublime music, gorgeous visuals, great voice acting, and superlative gameplay. It is essential if you enjoy action and rhythm games.
                            "
NME,https://www.nme.com/reviews/game-reviews/hi-fi-rush-review-3389232,"Jan 30, 2023",100,Positive,"
                                Hi-Fi Rush is the perfect surprise to fend off the January blues. A creatively-uplifting adventure that feels like a seismic breath of fresh air amidst copious license bait, remakes and sequels. It is Tango Gameworks’ most cohesive project yet, and a sorely-needed top-quality Xbox exclusive to boot. Few games can proudly go toe to toe with something as stylistically groundbreaking as Jet Set Radio, but Hi-Fi Rush sits comfortably within that lineage thanks to its intuitive full-bodied combat system, masterful art direction and anti-capitalist story. What can I say? It’s an early Game of the Year contender that’ll make you want to go and pick up that dusty old acoustic.
                            "
We Got This Covered,https://wegotthiscovered.com/reviews/review-hi-fi-rush-comes-out-of-nowhere-to-blow-us-all-away/,"Jan 30, 2023",100,Positive,"
                                One of the most joyous and fun gaming experiences we've had in a very long time, 'Hi-Fi Rush' combines the best of classics like 'Jet Set Radio', 'Space Channel 5', and 'Bayonetta' into a delectable package that simply can't be missed.
                            "
NPR,https://www.npr.org/2023/03/03/1160656371/npr-staff-review-the-best-new-games,"Mar  6, 2023",95,Positive,"
                                Like other rhythm games, what starts as frantic button-mashing turns into rewarding jam sessions. As you learn to time your strikes to the beat, you'll face an escalating range of robot foes that fight back (also on tempo, of course). It's a dance paired with an amazing soundtrack, and — funky as it sounds — I promise, it works.
                            "
Areajugones,https://areajugones.sport.es/videojuegos/analisis-de-hi-fi-rush-un-juego-repleto-de-accion-y-ritmo-que-se-postula-como-uno-de-los-mejores-del-ano/,"Feb 12, 2023",95,Positive,"
                                 Hi-Fi Rush came out of nowhere and made a name for itself in everyone's hearts, including myself. This is a rythm-action-platforming game that does almost everything well, which at the same time certainly makes up for its tiny issues. To sum up: this game by Tango Gameworks is a fresh and funny adventure that is packed with action, and that features several characters that are more than ready to take on the main stage. 
                            "
Checkpoint Gaming,https://checkpointgaming.net/reviews/2023/02/hi-fi-rush-review-a-rockin-brilliant-time/,"Feb  3, 2023",95,Positive,"
                                Hi-Fi RUSH is a surprise hit for many, but frankly, that shouldn’t come as a surprise. Tango Gameworks once more has proven itself to be an immensely talented studio, with showstopping animation and stylish artwork. It’s one of the strongest entries in the character action genre yet, only further bolstered by an accessible focus on music to have you nailing that combo to the catchy beats. It is a joy to see protagonist Chai and his ragtag crew fighting the higher power and see that world grow for what is hopefully not the only time. Every needle-drop moment and thrilling boss fight and encounter all but emphasise one thing: Hi-FI RUSH is magic and already a serious game-of-the-year contender. Rock on.
                            "
GamingTrend,https://gamingtrend.com/feature/reviews/hi-fi-rush-review-is-your-heart-pounding-with-the-beat/,"Feb  2, 2023",95,Positive,"
                                Hi-Fi Rush presents some of the best action combat out there and combines it with rhythm game mechanics to make something truly special. This is a game that’s firing on all cylinders constantly and bursting with creativity and style.
                            "
