source,link,date,grade,scoreType,text
Hardcore Gamer,https://hardcoregamer.com/reviews/review-hi-fi-rush/436745/,"Feb  1, 2023",100,Positive,"
                                What likely started out as an Xbox and/or Bethesda executive thinking “Hey, wouldn’t it be neat if we kept this game a secret and launched it during a special event?” has led to what could easily wind up as one of this year’s GOTY contenders exploding onto the scene in spectacular fashion. Hi-Fi Rush is classic video game action that blends amazing combat in a unique hybrid of genres in with memorable characters, a wicked sense of humor, terrific gameplay that’s accessible for all players and mind-blowing visuals and music. It’s an instant classic, even without the shadow drop, and delivers a candy-coated blast of chaos that conceals a clear labor of love and a weird purity to it all that you need to experience.
                            "
TheXboxHub,https://www.thexboxhub.com/hi-fi-rush-review/,"Jan 30, 2023",100,Positive,"
                                It combines showstopping unique gameplay with some of the best cel-shaded visuals, a superb soundtrack, a fun tone and great characters into one of the most memorable games in the past little while. It’s the type of game that reminds you why you fell in love with the genre in the first place.
                            "
IGN Japan,https://jp.ign.com/hi-fi-rush/65432/review/hi-fi-rushperfect-drug,"Jan 30, 2023",100,Positive,"
                                Hi-Fi Rush is a rock-themed masterpiece rhythm-action game. Its combat makes you feel like you’re performing on stage, and its wholesome story is exhilarating throughout. In 2023, there is simply no rhythm-action game that we could recommend more.
                            "
XboxAddict,https://www.xboxaddict.com/Staff-Review/14804/Hi-Fi-RUSH.html,"Feb 21, 2023",96,Positive,"
                                I had a smile on my face from beginning to end while playing Hi-Fi Rush. Its colorful graphics, loveable characters and positive story made it an absolute joy to play. Don’t let the rhythm-based combat scare you, just give it a try and you’ll be tapping your feet and buttons to the beat in no time.
                            "
Generación Xbox,https://generacionxbox.com/analisis-de-hi-fi-rush/,"Jan 30, 2023",96,Positive,"
                                There is nothing as addictive, fun and well-built as Hi-Fi Rush in the Xbox catalog. It is a must-have game. Its art design, its playable base and its ability to grab the player are brilliant.
                            "
Gaming Nexus,https://www.gamingnexus.com/Article/10785/Hi-Fi-RUSH/,"Feb 24, 2023",95,Positive,"
                                Hi-Fi Rush is a light-hearted game about comradery and taking down corpo, mixing fantastic animation, amazing character development, larger than life bosses and more charm than a bassist after getting props for a gig. If Bethesda is doing games like this in 2023, hand me that guitar pick. I'm ready to rock!
                            "
CGMagazine,https://www.cgmagonline.com/review/game/hi-fi-rush-xbox-series-x-review/,"Feb  7, 2023",95,Positive,"
                                Hi-Fi RUSH is a highly enjoyable action-adventure fuses the solid, hack n’ slash combat of Devil May Cry with enthralling rhythm-based mechanics, while also blurring the lines between anime and Saturday Morning Cartoons to deliver a larger-than-life protagonist whose story is just as much fun to watch as he is to play.
                            "
God is a Geek,https://www.godisageek.com/reviews/hi-fi-rush-review/,"Jan 30, 2023",95,Positive,"
                                Hi-Fi Rush is a thrilling rhythm game that oozes both style and substance, offering one of the biggest surprise hits in recent memory.
                            "
MGG,https://www.millenium.org/test/399588.html,"Jan 29, 2023",95,Positive,"
                                It's been a long time since a game has conquered us like Hi-Fi Rush did. From the very beginning, Tango Gameworks' title grabbed us by the collar and never let us go until the end credits, and we're asking for more. From its original concept executed with a cheeky mastery to its setting filled with a fine and universal humor, this is a project of enthusiasts for enthusiasts, you can feel it and it obviously warms your heart. You were looking for the first essential of 2023? Well, here it is!
                            "
Forbes,https://www.forbes.com/sites/paultassi/2023/01/28/hi-fi-rush-review-an-absolute-unequivocal-bop/,"Jan 28, 2023",95,Positive,"
                                Hi-Fi Rush is going to stay with me. I absolutely adore this game, far, far more than I would I would have imagined, given everything said above. It is, quite literally, infectious, as you will not only find yourself involuntarily bopping along with the beat as you play, but even after you’ve shut the game off...  It’s joyful, addicting and something I may play twice just for the hell of it. An absolute win.
                            "
XboxEra,https://xboxera.com/2023/01/26/review-hi-fi-rush/,"Jan 26, 2023",95,Positive,"
                                Hi-Fi RUSH came out of nowhere and floored me.  It is one of my favorite-looking games, maybe ever.  The combat is sublime, the story is great, and the music just works.  Tango Gameworks has shifted from making ok to good horror games and created one of my favorite action platformers of all time. 
                            "
SomosXbox,https://www.somosxbox.com/analisis-de-hi-fi-rush-xbox-series-s/980443,"Jan 31, 2023",92,Positive,"
                                This is an impeccable platform and action title, which bases all its gameplay on the rhythm of the music and which makes everything have outstanding fluidity. The difficulty of timing is adjustable so just about anyone can enjoy the game, pulling off combos and powerful attacks without having to be a timing ace. The protagonists and the final bosses have an exquisite personality and designs and give more power to a story that has its plot twists and its slightly more emotional and profound moments. Although Hi-Fi RUSH doesn't have an epic story, it has everything necessary to captivate you from the beginning, and together with that feeling of fluidity when playing, it leaves a very good taste in the mouth after a few hours at the controls. The game improves until practically its end, so we won't be able to stop playing until we discover what SPECTRA is and what they want to use it for. In addition, once we complete Hi-Fi RUSH, we can replay the levels to discover each and every one of the secrets that the levels hide, so we have an incentive to play them again. Or if you are a completionist, you have at your disposal the Wall of Fame, where a good handful of challenges await you. As you can see, Hi-Fi RUSH has everything it takes to become a title that many of us will remember over the years. If you are a fan of platform games, action games, or you just like music and video games, you have to give Hi-Fi RUSH a try, I assure you that you will not regret it.
                            "
GGRecon,https://www.ggrecon.com/reviews/hi-fi-rush-review/,"Feb 25, 2023",90,Positive,"
                                Everything comes together wonderfully, with the combat, platforming, music, and visuals complementing each other perfectly.
                            "
MondoXbox,https://www.mondoxbox.com/recensione/3547/hi-fi-rush.html,"Feb 18, 2023",90,Positive,"
                                Hi-Fi RUSH nails pretty much every aspect of its formula: art style, gameplay, technical production, characters, and soundtrack. Even if its mechanics are after all quite simple, it's definitely a must-play game and a great new IP we'd love to see expanded in the future.
                            "
BaziCenter,https://www.bazicenter.com/review/game/hi-fi-rush/ ,"Feb 12, 2023",90,Positive,"
                                After a lackluster line-up in 2022, Microsoft is back in business with Hi-Fi Rush and you are in for a treat especially if you already have a game pass membership.
                            "
Shacknews,https://www.shacknews.com/article/134104/hi-fi-rush-review-score,"Feb  9, 2023",90,Positive,"
                                Hi-Fi Rush delivers energizing gameplay that is smoother than slide guitar. It's accessible, satisfying, and just pure fun. The touching narrative explores themes of friendship and loyalty, while satirizing corporate culture with an unparalleled wit. Tango Gameworks have knocked it out of the park with their first foray away from the horror game genre and I am eager to see what comes next.
                            "
CD-Action,https://cdaction.pl/recenzje/recenzja-hi-fi-rush-zaskoczenie-roku,"Feb  7, 2023",90,Positive,"
                                Hi-Fi Rush is a wonderful reminder of why we play games in the first
place. The point is to enjoy yourself, to get away from everyday reality
for a moment, to have an amazing adventure, to feel rewarded when you
make progress and to smile at the thought of returning to the colorful
world on the other side of the screen. This brilliant rhythm/action game
gives you all that and much more.
                            "
