source,link,date,grade,scoreType,text,upThumbs,totalThumbs,helpfulness
NagisaNeko,http://www.metacritic.com/user/NagisaNeko,"Jan 24, 2023",7,Mixed,"I admit that this work is better than the previous work, both in terms of gameplay and map design, but the character creation, character modeling and plot design of this work make me very disappointed. I mean, if you just enjoy srpg game, you will probably like ENGAGE very much, but if you also value the shaping of plot and character relationship, then you may be a little disappointed.",19,19,1.0
Belonski,http://www.metacritic.com/user/Belonski,"Jan 25, 2023",6,Mixed,"One of the best Fire Emblems in technical aspects like gameplay, animations and sound coupled with probably the worst in story and characters. What a waste. Pity for the technical team aswell to have their good work ruined by such a big failure of the writing team.",17,17,1.0
avantic00,http://www.metacritic.com/user/avantic00,"Feb  6, 2023",0,Negative,"Combat was great and all, but the amount of cringe it gave during gameplay kept distubing me from immersing into the game. I wasn't able to get a clean and comforting gameplay as my previous FEs. Even with good combat u can't cover the bad writing...It hurts to rate negative to my favorite series...But Imma also be harsh on this one, so they don't bring that scenario writer again.",16,17,0.9411764705882353
Faetori,http://www.metacritic.com/user/Faetori,"Jan 25, 2023",5,Mixed,"The gameplay itself and the technical portion of the game is pretty good. The return of the weapon triangle works really well and the general feel and flow of the combat is a genuine step up from previous entries.Graphics have been improved quite a bit as well; the general quality of the models and maps is very high, however, the design direction sometimes feel a bit too clean and sanitized, making the world feel too plastic and artificial at times.The real problem and why this game utterly fails is the story. The plot feels like it was generated by AI with the most predictable twists and most soulless characters. Even though the gameplay was fun, the poor quality of the story keeps stopping me from actually wanting to play it. And that really sucks. Fire Emblem has always been about the perfect ratio of a good story and good combat, in Engage it feels like half of it is missing.",16,18,0.8888888888888888
SomethingSom,http://www.metacritic.com/user/SomethingSom,"Jan 26, 2023",5,Mixed,Gameplay is fun. The story and characters are soulless. Feels like a mobile game but it’s a full priced Nintendo game.. yikes,15,17,0.8823529411764706
jmd6174,http://www.metacritic.com/user/jmd6174,"Jan 24, 2023",5,Mixed,"The Good: -Visually, the game is crisp and colorful, and the battle animations are smooth and dynamic.-Gameplay is as solid as it’s ever been; happy to see the return of the weapon triangle. From a purely tactical perspective, the engage mechanic adds a nice layer of strategy to the battles.The Bad:-The characters are *incredibly* bland, generic, and flat out forgettable. Support conversations are either so short or so shallow that even those don’t help flesh the characters out.-The voice acting, while not necessarily bad, is noticeably lower quality compared to Three Houses and Echoes.-The cutesy, ultra-anime style is just not my thing. Hard to take the characters and the world seriously when all the females look like 12 year-old vtubers. You can especially notice it with the emblem characters. Their faces look so child-like compared to their original designs.-The plot is basic to the nth degree. Honestly don’t think they could have come up with a more dull, hackneyed, and uninspired story if they tried.-The music is okay, but not up to the Fire Emblem standard.",17,20,0.85
Chadx26,http://www.metacritic.com/user/Chadx26,"Jan 24, 2023",7,Mixed,"The gameplay is truly great!This story and the characters, on the other hand, not so much. I won’t dwell on this. It is what it is… I did not like it.Personal skills are basic and some just don’t fit what the character does best. Decent map designs.It is FUN to play. If you already like FE you’ll find something to like here if you can get past the writing .",16,19,0.8421052631578947
dmztheone,http://www.metacritic.com/user/dmztheone,"Feb 20, 2023",9,Positive,"2nd Review (100 hours gameplay) Score: 9I highly recommend this game! I've been playing it almost daily for almost a month now and I am thoroughly impressed. Although the story and relationships may not be as strong as Three Houses, the battle mechanism is top-notch and the game's fluidness is unbeatable. The ring mechanism and various abilities that are unlocked throughout the game are both inventive and fun, adding an extra layer of replayability. Despite the missed opportunities in the story, the game's design is impressive and the battles are particularly outstanding. I encourage you to approach the game with an open mind and focus on the battles, as you'll be rewarded with an enjoyable experience. Personally, I am still exploring the ring mechanism and skills, which has added a lot of fun to my gameplay. I am hopeful that expansion packs will provide even more enjoyment in the future! 1st Review (20 hours gameplay) Score: 7Fire Emblem: Engage is a solid strategy game that offers enjoyable battle mechanics, thanks to the addition of Emblem rings and Break mechanics. However, the game falls short in other areas, particularly in the story and character design. While I haven't completed the game yet and have only played around 20 hours, at this point, I can say that the overall experience is lacking in depth and fails to live up to the standard set by previous entries in the series. In my opinion, the game is worth playing for the battles alone, but don't expect much in terms of a compelling story or engaging characters. Overall, Fire Emblem: Engage is a decent way to pass the time, but I hope that Nintendo puts more effort into storytelling and character design in future games.",28,36,0.7777777777777778
Kenmei,http://www.metacritic.com/user/Kenmei,"Jan 23, 2023",5,Mixed,"Fire Emblem: Three Houses is one of my favorite games on the Switch and probably my favorite FE game. I even really enjoyed the Dynasty Warriors spin off game that came from it while not really being a big DW fan. So, coming into this, I had some pretty high expectations. And, while the gameplay has taken some pretty good steps forward, the story and characters absolutely kill any interest I have in continue playing it.Starting with the gameplay, the biggest addition are the Emblem Rings. Major upgrades for characters that have the ""soul"" of most of the previous FE games protagonists in them, even from games that have never seen a western release. They offer a ton of options for characters to upgrade their abilities and become a huge powerhouse on battlefield, even if it's not till right before the end of the game do you have the full compliment of rings at your disposal. There's also a new break mechanic that lets you, or your opponent, smash the current weapon they're holding so they can't retaliate for a little bit. And healers can now be used as offensive units as they're now all martial artists, allowing them to smash the bow, tome, and dagger weapons instead of just standing back and healing all the time. There's definitely enough here to definitively say that the gameplay has taken a step forward and, because all characters now move much more fluidly on the battlefield, things are much smoother then they ever have been before and that's very nice.However it's the story and characters where the game is truly let down. The story is an extremely generic ""kill the evil dragon"" fantasy type story, which is a huge downgrade from the political and religious intrigue from the previous game. Each character is either good just because or evil just because and it became extremely boring when I had to sit through an almost endless amount chapters that never went anywhere except to introduce yet another trope-filled character that had zero personality other then what it's trope said it had to be.  There are way too many characters here, so many that it will be virtually impossible to level more then your standard 8-10 characters on a playthrough. But the biggest let down in the main character, Alaer. Even though they are a literal God in this universe, and are treated as such by each character who interacts with them, even the bad guys, they are about as boring and pathetic as possible. Giving them a voice might have backfired cause they were just so annoying the entire game. I played as the male character so it might be different with the female character, but I absolutely despise them.I was let down by this game. While I really like the gameplay, and that's the only reason I'm giving this game the score I am, the story and characters attached to it are just so bad it's beyond saving. There's no reason to replay this game after completing the main story and, even with an expansion pass, I can't see myself ever coming back to this game. This is such a setback for the Fire Emblem franchise. While I don't see it being the last one, this one left such a bad taste in my mouth that I don't know if I'll be coming back to it.",17,22,0.7727272727272727
Delsinx4,http://www.metacritic.com/user/Delsinx4,"Jan 21, 2023",6,Mixed,"A step forward for the series in the technical aspect, but in the story and the sense of it they are 2 steps back, the cinematics many times do not make sense in relation to the gameplay, they feel very random at times and sometimes with zero coherence, in general, it cost me much more to play it than the last games like three houses or echoes.",31,41,0.7560975609756098
