source,link,date,grade,scoreType,text,upThumbs,totalThumbs,helpfulness
StormDeath69,http://www.metacritic.com/user/StormDeath69,"Jan 26, 2023",0,Negative,"Une catastrophe !Optimisation désastreuse, graphisme digne de la PS3, des dialogues beaucoup trop longs et soporifiques, un open world vide, un language grossier et continu de Frey exaspérant, 80€ le jeu, etc.Bref un vrai désastre, bravo Square Enix pour ce chef-d'oeuvre ",20,23,0.8695652173913043
I_HATE_SPLATOON,http://www.metacritic.com/user/I_HATE_SPLATOON,"Jan 26, 2023",0,Negative,"This game is game of the year , worst of the worst , why the management thinks this is a good game ?",18,21,0.8571428571428571
CyberRobotnix,http://www.metacritic.com/user/CyberRobotnix,"Jan 26, 2023",2,Negative,"Bad game with bad narrative, boring as hell, etc.",19,23,0.8260869565217391
burnout02urza21,http://www.metacritic.com/user/burnout02urza21,"Jan 26, 2023",0,Negative,"It ain't good, chief. Lame combat, seriously unlikeable characters, and an incoherent story all make for a very poor outing by Square.",22,28,0.7857142857142857
terrapong,http://www.metacritic.com/user/terrapong,"Jan 25, 2023",0,Negative,"Go install UE5 and run their free tech demos and you will have a funner time than this game. When people say this game is cringe, they mean it 100%. Your ears will be bleeding from listening to this corporate teen soap opera. Is Square Enix insane?",30,39,0.7692307692307693
Jagaro,http://www.metacritic.com/user/Jagaro,"Jan 25, 2023",0,Negative,"One of the worst games i have ever played. Its lackluster world, frustrating controls, unresponsive/unsatisfying combat, old Assassin's Creed graphics (pale textures and colors for an adventure game) and poor optimization for that, cringe and not interesting story, feminism and awareness of literally nothing has been enough for me to not look game with anticipation of havin fun.",18,25,0.72
WanderinMelmoth,http://www.metacritic.com/user/WanderinMelmoth,"Jan 29, 2023",2,Negative,"Forspoken is NOT really woke. Just making the main character a black female New Yorker does not make a game woke. Check out the New York demographic. The real problems why Forspoken is a below average game are:1) technical issues (framerate drops, stuttering) graphically it's not impressive (will probably be fixed eventually)2) gameplay: it feels like watching a movie. Expect a LOT of cutscenes. Remember the ""interactive"" CD-ROM movies in the 1990s? First hour feels like that.3) Unlikable characters. No, it's not because she's black, so stow the ""racist!"" outcry. Faye is a total biotch. She's a terribly written, constantly cussing entitled, whiny POS. Unfortunately she isn't the only one. The talking bracelet is annoying as hell, several other character you wish you could just kill off to silence them (which you can't. I tried).4) expect pop-up triggers (press ""E"" to do this) and numbers (damage done) everywhere. The designers don't even trust you can do a sneak mission on your own: you have to follow a character (with a marker on top of her head!) as she does the sneaking for you!5) generic enemies with braindead AI and genereic, empty world6) it's $70 !!! Really!? It's not even worth $50! If you buy it (which you shouldn't) wait for a 75% discount.",15,21,0.7142857142857143
Daniel2009,http://www.metacritic.com/user/Daniel2009,"Jan 25, 2023",0,Negative,This game was really boring and it wasn't fun and will be forgotten very soon,20,30,0.6666666666666666
MoonlightSword,http://www.metacritic.com/user/MoonlightSword,"Jan 25, 2023",1,Negative,"This game has the mechanics of an old assassin creed. The number of existing open worlds superior to it is impressive, but above all it completely sucks when compared to gosht of tsushima, witcher 3, horizon 1 and 2 (which I personally find average though), skyrim, Elden Ring, ...It's not an AAA at all, it's expensive for such a bad and boring game. On PC it's even worst due to the lake of optimization.",16,25,0.64
Maugaran,http://www.metacritic.com/user/Maugaran,"Feb 13, 2023",0,Negative,embarrassed by characters. Bad edgy hop **** game. Big pre game promises and nothing was complied with.,1,1,1.0
