source,link,date,grade,scoreType,text,upThumbs,totalThumbs,helpfulness
Pepe23_,http://www.metacritic.com/user/Pepe23_,"Jan 26, 2023",2,Negative,"A generic and boring game, I expected more from this game, the only saving grace is the graphics",20,24,0.8333333333333334
Lewwildy,http://www.metacritic.com/user/Lewwildy,"Jan 26, 2023",0,Negative,"Empty lifeless world, bad writing, last gen graphics, boring story. What more could you want from a current gen AAA game?",25,33,0.7575757575757576
Daniel0809,http://www.metacritic.com/user/Daniel0809,"Jan 26, 2023",7,Mixed,"Should be a great game but its not. Starts off extra slow for about 8 hours then it gets better.. Other than the nice looking landscapes & exploration in the nice looking world its a tough game to enjoy. The protagonist is poorly written, story is horrible, combat so clunky and the fade to black screen each cut scene is annoying. Play it and see for yourself.",15,20,0.75
ghettie,http://www.metacritic.com/user/ghettie,"Jan 27, 2023",2,Negative,Not like I've expected much of this game.. still ended up disappointed tho..,17,23,0.7391304347826086
ghst3691,http://www.metacritic.com/user/ghst3691,"Jan 26, 2023",2,Negative,"Where do I begin with this mess of a game.1) boring npcs2) cringe writing for dialog3) antagonist is absolutely unlikable, hates everyone and everything. Uses the f-bomb every two words. ( should've left her ass in the real world to begin with and chose a better character to use.)4) graphics are bland as hell5) poor choice of design to make character static in dialog 6) bad performance setting still get tons of stutter7) where are the enemies? Mostly boring ass animals.8) world is empty and lifeless.9) spells are cool and traversal is as well, but it doesn't last.Overall - do not buy at full price, wait for huge sale or dont buy at all and wait for something better, and if you are a minor, don't play around parents that don't like cussing. You will get an earfull.",43,60,0.7166666666666667
Animae,http://www.metacritic.com/user/Animae,"Jan 25, 2023",5,Mixed,"This game fails on everything we expected. Story wise is so bad and cliché that a 8 years old kid could have written the story.The open world is repetitive, filled with a miriad or interest points that you have to clear to get drops and stats (statues). Also it feels very wrong on some levels.Frey is an unlikable main character, she only swears all the time and you can easilly forget about her.The only good part is the combat system but there are so many problems around it that it needs months above months of patches to fix everything.I'm very sad about this, I expected this game a lot and it failed us on everything",37,52,0.7115384615384616
VioletStitch,http://www.metacritic.com/user/VioletStitch,"Jan 26, 2023",3,Negative,"Probably the worse writing seen in a video game since that awful Duke Nukem game that we all want to forget, lifeless bland open world that’s feels uninspired and gives me PTSD flashbacks to playing Anthem. It’s actually impressive, it’s like the developers decided to be inspired by the worse games to ever release. I’d like to say that the gameplay makes up for its shortcomings like other reviews have but I just can’t, the “parkour” movement system gets old real quick, and the combat (despite being the strongest part of the game) also suffers the same fate, after a few hours you just begin to ask the question why am I even playing this? Overall, awful writing, bland open world, and lacklustre combat.",23,33,0.696969696969697
RB7,http://www.metacritic.com/user/RB7,"Jan 26, 2023",2,Negative,"I was looking forward to this game from the trailers, however this is a other miss from Square Enix. It's great to see a person of colour as the protagonist but the writing fails her miserably. She is unbelievably boring and this is highlighted with her interactions with the just as uninteresting NPC's. The dialogue between her and Cuff is so cringy they give you and option to dial it back. The premise is actually interesting but the execution of it is poor. The amount of hand holding and black screens make the beginning of the game a slog and a chore to play. This results in the plot overall being uninteresting to me and doesn't come close to capturing the imagination. The open world feels empty even though there are things to do. This is because they don't give a good enough reason to actually do side quests/things on the map. It feels like they just randomly put things on the map without any thought. Gameplay feels decent but only against bigger enemies does it feel satisfying. Against smaller enemies it feels u rewarding. The game also doesn't run well on PC. This is what I and most PC gamers are expected and currently experiencing. The writing was on the wall for how bad the PC version would be as no PC codes were sent to reviewers before launch, which is a major red flag.Ultimately Forspoken fails on a lot of levels, and the game being $10 more than usual is just pathetic. This is a game that'll be heavily discounted in a couple of months because of how bad it is, so save your money and only buy it if the discount is around 60%/70% off and above.",16,23,0.6956521739130435
SophieTass,http://www.metacritic.com/user/SophieTass,"Jan 26, 2023",0,Negative,"The game is plagued with a laundry list of issues that stem from choices the designers made. They created an expansive world that ended up being a barren wasteland. A forgettable and unappealing world , reminiscent of games like Death Stranding and Sonic Frontiers. As unsatisfactory as the world feels, the gameplay felt more off-putting still. A clumsy UI to select different abilities and repetitive combat that feels unsatisfying and unrewarding. The unpleasant dialogue makes the main character very unlikeable throughout the game. A game designed with very little care, with a very high price tag. Not recommended at all.",16,23,0.6956521739130435
Jackstar,http://www.metacritic.com/user/Jackstar,"Jan 26, 2023",1,Negative,I never feel the need to leave reviews on games but I took this one personally. £60! I'm not joking when I say that it is a truly bad experience in every imaginable aspect. The only reason I have even given it a 1 is because it has taught me a valuable life lesson to watch gameplay videos before buying a game. Because buying Forspoken is one of the worst mistakes I have made in gaming.,27,39,0.6923076923076923
