source,link,date,grade,scoreType,text,upThumbs,totalThumbs,helpfulness
ZXGaming,http://www.metacritic.com/user/ZXGaming,"Jan 27, 2023",10,Positive,"Hi-Fi Rush é um jogo maravilhoso que saiu da equipe do pai do survival horror, o que deixa muita gente confusa, afinal, um hack n' slash rítmico vindo da equipe do pai do survival horror? Pois é. Hi-Fi Rush é um jogo para mostrar que a Tango GameWorks não depende apenas de The Evil Within ou Ghostwire, ela pode desenvolver jogos de diferentes gêneros,  com diferentes estilos gráficos, e ainda assim ele será incrível. A direção artística do jogo é fenomenal, o estilo cartunesco com cenários em 3D e cell shadding funcionam como um finíssimo vinho, e vão permitir ao jogo que envelheça muito bem. A mecânica de gameplay é extremamente divertida e fluida, se comportando de forma semelhante a outros hack n slash, mas inovando em como manter pontuações, afinal, estamos falando de um jogo rítmico. Para um bom jogo rítmico funcionar, precisamos de uma excelente trilha sonora, e é exatamente o que temos em Hi-Fi Rush, o sample base é maravilhoso, e conforme vamos acertando os golpes a intensidade da trilha vai aumentando, até mesmo quando quebramos caixotes em busca de peças escutamos a plateia gritando pelo nosso protagonista ""CHAI, CHAI, CHAI!"". Este jogo veio para surpreender todos os jogadores e mostrar que jogos não precisam ter medo de serem apenas jogos. Realismo gráfico, histórias dramáticas, pra que? Nossa vida já é cheia de tristezas, está na hora de voltarmos a nos divertir, e se divertir com Hi-Fi Rush!",8,8,1.0
JeanFrancisco,http://www.metacritic.com/user/JeanFrancisco,"Jan 27, 2023",10,Positive,"Um jogo que mistura a profundidade de DMC o carisma de Jet Set Radio e a magnitude de patapon a história mesmo simples e direta cumpre bem aquilo que se propõe, sendo a alma do jogo o seu pilar entre música e jogabilidade tendo aquilo que grandes jogos da indústria ainda não tem carinho pelo gameplay só visto em jogos como Bayonetta, DMC entre outros.",6,6,1.0
boxevill,http://www.metacritic.com/user/boxevill,"Jan 27, 2023",10,Positive,"Increíble juego, súper recomendado. Una delicia del género, bravo por tango y xbox!",5,5,1.0
123321890098,http://www.metacritic.com/user/123321890098,"Jan 27, 2023",10,Positive,"A very good and fun game, with good characters and a fun protagonist. 10/10",5,5,1.0
rafadarcs,http://www.metacritic.com/user/rafadarcs,"Jan 27, 2023",10,Positive,One of the best game i have played in years. A fun and a engaging gameplay is all i need.,5,5,1.0
LonelySeok,http://www.metacritic.com/user/LonelySeok,"Jan 27, 2023",10,Positive,Me parece un juego bastante bueno lastima que sea victima del odio de mucha gente,5,5,1.0
Wncc1701p,http://www.metacritic.com/user/Wncc1701p,"Jan 26, 2023",9,Positive,"had a great time on it , played really smooth, was a change from all the dark games that have been out recently",4,4,1.0
Mightygamerj,http://www.metacritic.com/user/Mightygamerj,"Jan 27, 2023",10,Positive,"Don’t understand why people are complaining about this game. they probably haven’t played it, it’s a really fun game the combat is good and so is the music.",4,4,1.0
SindromeBR,http://www.metacritic.com/user/SindromeBR,"Jan 27, 2023",10,Positive,"Excelente jogo.Excelente jogo.Excelente jogo.Excelente jogo.Excelente jogo.Excelente jogo.",3,3,1.0
Pedrao1710,http://www.metacritic.com/user/Pedrao1710,"Jan 27, 2023",10,Positive,This game is amazing!!!!!!The best of New generacion!!!!!!!!!!!!!!!!!!!!!!!,3,3,1.0
malias4,http://www.metacritic.com/user/malias4,"Jan 27, 2023",10,Positive,Amazing game cant stop playing !!! Im totaly blown away from the fun im having,2,2,1.0
xlRemylx,http://www.metacritic.com/user/xlRemylx,"Jan 27, 2023",10,Positive,"God, nada mas que decir. Un gran juego con música, dinámicas e historia Increíbles.",2,2,1.0
Felipeandrada,http://www.metacritic.com/user/Felipeandrada,"Jan 27, 2023",10,Positive,"Que jogo delicia de se jogar. Fácil, intuitivo, musica boa, sem bugs, gráficos excelentes para proposta do game, progressão ótima, upgrades, comprar golpes. Tudo muito bem feito.",2,2,1.0
MateusHSeries,http://www.metacritic.com/user/MateusHSeries,"Jan 27, 2023",10,Positive,Just awesome I recommend to everyone ,2,2,1.0
Luiz1903,http://www.metacritic.com/user/Luiz1903,"Jan 27, 2023",10,Positive,"Jogo lindo com uma gameplay incrível, simplesmente um goty lançado em janeiro com ""day zero""",2,2,1.0
Pedro0103,http://www.metacritic.com/user/Pedro0103,"Jan 26, 2023",10,Positive,"Nunca tinha jogado jogo rítmico antes e tinha até preconceito com esse tipo de jogo, e esse jogo abriu minha mente, gráfico tá insano, jogabilidade tá absurda e o jogo ele é auto explicativo, mesmo se vc for horrível em ritmo igual eu, o jogo vai te auxiliar visualmente e pegar pela mão e te ensinar como entrar no ritmo certo pra vc não ter uma experiência ruim, um jogo absurdo e uma grande surpresa nesse início de ano.",2,2,1.0
Pankis93,http://www.metacritic.com/user/Pankis93,"Jan 27, 2023",10,Positive,"Excelente juego, mecánicas frescas y arte visual nada exagerado que le van muy bien al estilo de la historia.",2,2,1.0
