source,link,date,grade,scoreType,text,upThumbs,totalThumbs,helpfulness
andykim13,http://www.metacritic.com/user/andykim13,"Jan 26, 2023",10,Positive,"Amazing Game, one of the best surprises ever! Hope it get the attention it deserves.",54,66,0.8181818181818182
Malek-GR,http://www.metacritic.com/user/Malek-GR,"Jan 28, 2023",10,Positive,It's highly recommended and one of the best video games that comes to xbox game bass,6,6,1.0
XboxPlayer,http://www.metacritic.com/user/XboxPlayer,"Jan 27, 2023",10,Positive,"Jogo perfeito! Sua jogabilidade, gráficos e história são muito bons para o que o jogo propõe. Espero ver uma continuação",4,4,1.0
Xplocion,http://www.metacritic.com/user/Xplocion,"Jan 27, 2023",9,Positive,"The good:An interesting mix of Sunset Overdrive, Jet Set Radio, rhythm game and Generator Rex (a cartoon that also had its game on Xbox 360). Characters with excessive charisma. It is very reminiscent of the Sunset Overdrive expansion where you face mechs and robots. It is irreverent, unexpected, entertaining. Colorful graphics. It has a Crackdown mechanic where you have to defeat the landlords to go to the end and they drop more and more fierce and powerful enemies, before seeing the final boss (also very similar to Shadow of Mordor's Nemesis mode). Various game modes included in the main game, rhythm game, imitate patterns, 2D platformer, time attack. It's on Xbox Game Pass so get into it without fear. The bad:Small frame drops (they don't worsen the gaming experience and maybe they'll be fixed with a patch). It's a festival of Cartoon and anime clichés (breaking the fourth wall, script armor, moments of grief, you can't take it seriously even though the characters take it solemnly). Very short (I'm hoping for some expansion to continue expanding the experience. If you don't like Japanese, it's not a game for you. Lo Meh!:Sega has always been asked for a sequel to Jet Ser Radio Future (Original Xbox) or Sunset Overdrive 2 (before Sony bought Insomniac) and it's good that it came from Tango Games and Shinji Mikami. By the way, many forget that Shinji Mikami and his team had already surprised us with Beautiful Joe before, so I don't understand the complaints.",4,4,1.0
mgedik,http://www.metacritic.com/user/mgedik,"Jan 28, 2023",10,Positive,Başında oturdun mu saatlerce kalkamıyorsun. Yılın oyunları arasında yer alacaktır.,3,3,1.0
playffxv,http://www.metacritic.com/user/playffxv,"Jan 26, 2023",10,Positive,"Masterpíece Parem com Guerrinha de Console e vão apreciar essa obra prima",2,2,1.0
thebass101,http://www.metacritic.com/user/thebass101,"Feb  5, 2023",7,Mixed,"Solid enough game with enjoyable soundtrack.  Takes a bit of time to get used to rhythm aspect when doing battles but it works well.  Only negative is from the character korsica in the game with the worst bit of voice acting in a game ever, supposed to be a scottish accent but it is dreadful, how can you be a voice acter and so bad with an accent.",1,1,1.0
Sun3030,http://www.metacritic.com/user/Sun3030,"Mar 17, 2023",0,Negative,I have giving more time than i normally give to a game that is just terrible but this game got such hype I tried to find why and i've found a game that gives one no reason to continue past the opening couple mins. The story is dumb and the gameplay offers nothing that we've not seen hundreds of times before and in those hundreds of times it was done better. Also imo the music sucked and the dialogue was cringe at best. This game is nothing more than Game Pass filler and a complete waste of cartoony time and your time.,1,1,1.0
MrKiwaVGC,http://www.metacritic.com/user/MrKiwaVGC,"Feb  1, 2023",10,Positive,"Es el mejor juego que he jugado en lo que va del año, lo recomiendo, es como volver a la infancia con Ratchet and Clank o Megas XLR. Maneja un muy buen humor, los diálogos son buenos, la música es increíble y el gameplay... ¿Cómo alguien conbina Hack and Slash con un juego de ritmo? NO TIENE SENTIDO.",1,1,1.0
Rainpresis,http://www.metacritic.com/user/Rainpresis,"Jan 29, 2023",7,Mixed,"Good Game, animation is great. Little bit repetitive though, gameplay is generic and could be better, also the game works with the same bpm all the way, it could have more variations",1,1,1.0
